Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m)
"01-Jan-1990",258.61422999999996,205.2935,223.7442,25.81
"02-Jan-1990",238.47108,201.8,317.834,26.1
"03-Jan-1990",249.61508,253.8,398.7801,26.31
"04-Jan-1990",254.86092999999997,266.946,339.833,26.16
"05-Jan-1990",263.88211,255.3,378.4958,26.26
"06-Jan-1990",242.77689999999998,290,300.1782,26.05
"07-Jan-1990",236.02725,158.4,257.0934,25.92
"08-Jan-1990",229.88034,140.4224,180.1418,25.65
"09-Jan-1990",239.78332,178.2,117.1039,25.37
"10-Jan-1990",269.20935000000003,177.6,539.1822,26.62
"11-Jan-1990",259.00054,257.6,432.5767,26.39
"12-Jan-1990",244.43545999999998,167.9,307.1675,26.07
"13-Jan-1990",261.01599,286.5,325.0681,26.12
"14-Jan-1990",250.95890999999997,309.1,378.4958,26.26
"15-Jan-1990",214.56183,186.1684,328.7221,26.13
"16-Jan-1990",181.46936000000002,177.4,185.2811,25.67
"17-Jan-1990",210.40774,304.1,273.1876,25.97
"18-Jan-1990",218.26711000000003,220.4,347.3647,26.18
"19-Jan-1990",239.70858000000004,192.4,398.7801,26.31
"20-Jan-1990",211.194545,193.9,370.5617,26.24
"21-Jan-1990",221.346853,166.2,279.7914,25.99
"22-Jan-1990",242.80216099999998,170.3629,455.5,26.41
"23-Jan-1990",287.5631199999999,213,364.4,26.25
"24-Jan-1990",290.36580000000004,270.038,560.2,26.61
"25-Jan-1990",292.75735,296.875,592.9,26.58
"26-Jan-1990",276.63545999999997,311.4817,477.1848,26.49
"27-Jan-1990",236.11554,306.582,345.8,26.17
"28-Jan-1990",228.84538999999998,331.4,203.9646,25.74
"29-Jan-1990",282.0331,295.269,370.6,26.31
"30-Jan-1990",301.82196,426.1,499.4,26.44
"31-Jan-1990",254.84906999999998,192.7,352.8,26.18
"01-Feb-1990",260.72419,249.2,414.9,26.35
"02-Feb-1990",241.288355,153.1,448.5,26.55
"03-Feb-1990",260.02016000000003,267.5,409.3,26.37
"04-Feb-1990",276.37252,275.8,303.6607,26.06
"05-Feb-1990",250.23216,219.3972,249.8,25.9
"06-Feb-1990",257.3003,347.6,292.9,25.95
"07-Feb-1990",243.24164,242.7,379.9,26.38
"08-Feb-1990",226.33979,271.1,369.1,26.12
"09-Feb-1990",216.21105000000003,203.6,275.1,26
"10-Feb-1990",274.30162,260.3,354.9,26.16
"11-Feb-1990",259.73204200000004,348.5,360.7861,26.22
"12-Feb-1990",287.89615,383.2077,394.3,26.29
"13-Feb-1990",255.84760999999997,242.6,369.9,26.3
"14-Feb-1990",248.50540999999998,155.5,389.7,26.26
"15-Feb-1990",237.45436000000004,225.2,372.5,26.31
"16-Feb-1990",244.112842,296.2,401.7,26.33
"17-Feb-1990",259.21225,279.9,412.7,26.35
"18-Feb-1990",271.91737,361,407.0737,26.33
"19-Feb-1990",277.17401,348.3295,347.6,26.27
"20-Feb-1990",292.8341,255.7,347.9,26.29
"21-Feb-1990",288.55694,262.6,380.2,26.32
"22-Feb-1990",294.01457,233.8,489.9,26.6
"23-Feb-1990",293.58962900000006,266.9464,638.5,26.9
"24-Feb-1990",275.10113,242.7168,378.9,26.4
"25-Feb-1990",256.849191,239.7517,374.5164,26.25
"26-Feb-1990",268.8931,355.2011,333.2,26.15
"27-Feb-1990",270.92978,354.3,236.1,25.89
"28-Feb-1990",274.26962,325,219.1,25.77
"01-Mar-1990",272.43413,461.1,290.1,26
"02-Mar-1990",259.76352999999995,373,268.7,25.89
"03-Mar-1990",284.56858000000005,378.5,283.5,25.98
"04-Mar-1990",297.09253,324.9,289.876,26.02
"05-Mar-1990",269.19124,318.0615,288.7,26.03
"06-Mar-1990",273.18411000000003,329.5,349.4,26.19
"07-Mar-1990",273.69804,391.5,336.6,26.13
"08-Mar-1990",283.52187000000004,395.5,338.9,26.2
"09-Mar-1990",286.006621,437.3,358.7,26.29
"10-Mar-1990",319.67319,516.6,308.9,26.17
"11-Mar-1990",325.09644499999996,378.6,332.4009,26.14
"12-Mar-1990",319.45372999999995,324.6948,355.1,26.19
"13-Mar-1990",324.75985,360.1,345.2,26.17
"14-Mar-1990",357.91632000000004,404,400.3,26.29
"15-Mar-1990",332.50556000000006,344.6,375.9,26.27
"16-Mar-1990",318.56013,408.7,361.8,26.15
"17-Mar-1990",329.75993,421.4,295.5,26.13
"18-Mar-1990",339.48955,488.3,353.0788,26.2
"19-Mar-1990",334.07395999999994,491.5396,393.1,26.34
"20-Mar-1990",336.73213,615.2,385.2,26.32
"21-Mar-1990",315.67891,620.5,341.9,26.17
"22-Mar-1990",305.03417099999996,594.9,383.7,26.19
"23-Mar-1990",279.257235,448.8,395.1,26.23
"24-Mar-1990",288.62191,515.2507,355.8,26.23
"25-Mar-1990",304.13115999999997,486.3,351.1674,26.19
"26-Mar-1990",284.75879000000003,353.4779,347.5,26.19
"27-Mar-1990",317.2178800000001,616.4,351.1674,26.19
"28-Mar-1990",282.57069,388.6,330.6,26.16
"29-Mar-1990",241.35777000000002,326.9,257.3,25.98
"30-Mar-1990",243.13009,401.1,131.9,25.5
"31-Mar-1990",255.448345,450.7,256.5,25.91
"01-Apr-1990",262.87889,361.1,296.7199,26.04
"02-Apr-1990",281.26534,328.0315,294.3,26.05
"03-Apr-1990",273.23432,387.4,202.3,25.79
"04-Apr-1990",273.77517,413.8,283.1292,26
"05-Apr-1990",293.070241,536.6,279.5,26.08
"06-Apr-1990",311.76663999999994,559.8434,292.6,26
"07-Apr-1990",286.34642399999996,593.1761,283.1292,26
"08-Apr-1990",275.55777,559.8434,286.4903,26.01
"09-Apr-1990",264.593948,468.2678,165.6,25.66
"10-Apr-1990",281.47451,490.7,147.3,25.54
"11-Apr-1990",263.50151,405.4,265.7,25.94
"12-Apr-1990",248.38013,454.8,275.8,25.95
"13-Apr-1990",253.49007,370.9,209.5027,25.76
"14-Apr-1990",253.45072,366.7,336.1046,26.15
"15-Apr-1990",240.59936000000002,290.4,257.0934,25.92
"16-Apr-1990",245.73363,344.9134,262,25.99
"17-Apr-1990",268.5303,438.7,261.8,25.96
"18-Apr-1990",275.16071800000003,487.6303,289.6,26.04
"19-Apr-1990",230.637651,440.9,265.6,25.99
"20-Apr-1990",241.22603600000002,424.7,388.5,26.2
"21-Apr-1990",217.78205000000003,388.1,329.9,26.13
"22-Apr-1990",196.325015,428.3,321.4387,26.11
"23-Apr-1990",218.37732,487.6303,388.4,26.2
"24-Apr-1990",224.001229,375.8,417.7,26.26
"25-Apr-1990",216.28783999999996,312.8,302.4,26.08
"26-Apr-1990",193.66014399999997,291.5,255.4,25.92
"27-Apr-1990",213.0179,276,268.2975,25.96
"28-Apr-1990",191.41312000000002,278,266.6789,25.95
"29-Apr-1990",183.22527,290,269.9214,25.96
"30-Apr-1990",199.73928299999997,285.7042,270,25.92
"01-May-1990",200.19079000000002,280.5,201.5,25.74
"02-May-1990",180.96396,354.1,166,25.6
"03-May-1990",141.70415500000001,328.3,154.7,25.46
"04-May-1990",209.88948999999997,320.7,319.2,26.1
"05-May-1990",218.61253,270.038,283.9,26
"06-May-1990",184.65308000000002,136.84,247.7199,25.89
"07-May-1990",177.939019,54.62329,210.1,25.76
"08-May-1990",198.55434999999997,45.12,182,25.68
"09-May-1990",185.29893,39.35,155.7413,25.55
"10-May-1990",192.620645,42.63,160.4502,25.57
"11-May-1990",317.41229999999996,72.9,1336.293,27.81
"12-May-1990",368.37054,64.07,1954.389,28.45
"13-May-1990",303.30749929999996,104.9,1514.293,28.01
"14-May-1990",295.51327499999996,210.8907,1327.774,27.8
"15-May-1990",225.70657099999997,73.116,717.6582,26.95
"16-May-1990",205.49701,77.824,644.7,26.85
"17-May-1990",199.14646399999998,196.2,518.2,26.72
"18-May-1990",200.23033399999997,60.95,431.7,26.4
