ParameterName;Key;MinValue;MaxValue;Use
SnowMeltCoef;parameters.SnowMeltCoef;0.001;0.007;FALSE
soildepth_factor;parameters.soildepth_factor;0.8;1.8;TRUE
preferentialFlowConstant;parameters.preferentialFlowConstant;0.5;8;TRUE
arnoBeta_add;parameters.arnoBeta_add;0.01;1.0;TRUE
factor_interflow;parameters.factor_interflow;0.33;3.0;TRUE
recessionCoeff_factor;parameters.recessionCoeff_factor;0.05;10;TRUE
manningsN;parameters.manningsN;0.1;10.0;TRUE
lakeAFactor;parameters.lakeAFactor;0.333;5.0;TRUE
lakeEvaFactor;parameters.lakeEvaFactor;0.8;3.0;TRUE
max_reservoir_release_factor;agent_settings.reservoir_operators.max_reservoir_release_factor;0.01;0.05;TRUE
NormalOutflowQ;agent_settings.reservoir_operators.NormalOutflowQ;0.01;1.0;FALSE
return_fraction;agent_settings.farmers.return_fraction;0.3;0.8;TRUE
