,0,1
2005-01-01,959,686
2005-01-02,959,686
2005-01-03,959,686
2005-01-04,959,686
2005-01-05,959,686
2005-01-06,959,686
2005-01-07,959,686
2005-01-08,959,686
2005-01-09,959,686
2005-01-10,959,686
2005-01-11,959,686
2005-01-12,959,686
2005-01-13,959,686
2005-01-14,959,686
2005-01-15,959,686
2005-01-16,959,686
2005-01-17,959,686
2005-01-18,959,686
2005-01-19,959,686
2005-01-20,959,686
2005-01-21,959,686
2005-01-22,959,686
2005-01-23,959,686
2005-01-24,959,686
2005-01-25,959,686
2005-01-26,959,686
2005-01-27,959,686
2005-01-28,959,686
2005-01-29,959,686
2005-01-30,959,686
2005-01-31,959,686
2005-02-01,959,686
2005-02-02,959,686
2005-02-03,959,686
2005-02-04,959,686
2005-02-05,959,686
2005-02-06,959,686
2005-02-07,959,686
2005-02-08,959,686
2005-02-09,959,686
2005-02-10,959,686
2005-02-11,959,686
2005-02-12,959,686
2005-02-13,959,686
2005-02-14,959,686
2005-02-15,959,686
2005-02-16,959,686
2005-02-17,959,686
2005-02-18,959,686
2005-02-19,959,686
2005-02-20,959,686
2005-02-21,959,686
2005-02-22,959,686
2005-02-23,959,686
2005-02-24,959,686
2005-02-25,959,686
2005-02-26,959,686
2005-02-27,959,686
2005-02-28,959,686
2005-03-01,959,686
2005-03-02,959,686
2005-03-03,959,686
2005-03-04,959,686
2005-03-05,959,686
2005-03-06,959,686
2005-03-07,959,686
2005-03-08,959,686
2005-03-09,959,686
2005-03-10,959,686
2005-03-11,959,686
2005-03-12,959,686
2005-03-13,959,686
2005-03-14,959,686
2005-03-15,959,686
2005-03-16,959,686
2005-03-17,959,686
2005-03-18,959,686
2005-03-19,959,686
2005-03-20,959,686
2005-03-21,959,686
2005-03-22,959,686
2005-03-23,959,686
2005-03-24,959,686
2005-03-25,959,686
2005-03-26,959,686
2005-03-27,959,686
2005-03-28,959,686
2005-03-29,959,686
2005-03-30,959,686
2005-03-31,959,686
2005-04-01,959,686
2005-04-02,959,686
2005-04-03,959,686
2005-04-04,959,686
2005-04-05,959,686
2005-04-06,959,686
2005-04-07,959,686
2005-04-08,959,686
2005-04-09,959,686
2005-04-10,959,686
2005-04-11,959,686
2005-04-12,959,686
2005-04-13,959,686
2005-04-14,959,686
2005-04-15,959,686
2005-04-16,959,686
2005-04-17,959,686
2005-04-18,959,686
2005-04-19,959,686
2005-04-20,959,686
