,reservoir storage
2005-01-01,382000000.0
2005-01-02,381873191.8649313
2005-01-03,381732136.7355766
2005-01-04,381590771.3359623
2005-01-05,381450805.23159087
2005-01-06,381319121.4807899
2005-01-07,381185538.1731833
2005-01-08,381057288.8740166
2005-01-09,380951941.41387916
2005-01-10,380859034.7740409
2005-01-11,380772252.2214404
2005-01-12,380731948.76004267
2005-01-13,380715339.80624205
2005-01-14,380716791.29157066
2005-01-15,380735652.32687306
2005-01-16,380770537.78420764
2005-01-17,380805241.29908305
2005-01-18,380858427.4547293
2005-01-19,380924101.1577047
2005-01-20,381031163.70769435
2005-01-21,381141653.6644743
2005-01-22,381267786.4738976
2005-01-23,381404091.02189773
2005-01-24,381567170.9183246
2005-01-25,381770684.0315688
2005-01-26,381993385.03990823
2005-01-27,381988750.62995964
2005-01-28,381989068.5896118
2005-01-29,381990739.8493613
2005-01-30,381902396.0934833
2005-01-31,381955053.9481343
2005-02-01,381899881.2815337
2005-02-02,381982574.7000116
2005-02-03,381966038.90876204
2005-02-04,381975586.1610073
2005-02-05,381980709.78860795
2005-02-06,381972985.9034634
2005-02-07,381959195.90944475
2005-02-08,381931364.783969
2005-02-09,381887999.80443645
2005-02-10,381973073.7931603
2005-02-11,381973348.1892119
2005-02-12,381878117.16218895
2005-02-13,381902836.992322
2005-02-14,381936920.95853543
2005-02-15,381965986.36501884
2005-02-16,381967400.24270064
2005-02-17,381959233.4207576
2005-02-18,381946017.54378784
2005-02-19,381956792.843615
2005-02-20,381973107.3968067
2005-02-21,381962911.4883673
2005-02-22,381955609.5965967
2005-02-23,381962312.0996437
2005-02-24,381972916.5332935
2005-02-25,381954601.0893288
2005-02-26,381945933.68767685
2005-02-27,381983281.0215812
2005-02-28,381909122.9464631
2005-03-01,381945903.80268306
2005-03-02,381840612.9575214
2005-03-03,381949394.88875246
2005-03-04,381974465.3220352
2005-03-05,381904115.6683136
2005-03-06,381889701.5208063
2005-03-07,381891352.0062746
2005-03-08,381958811.0215337
2005-03-09,381939470.97594947
2005-03-10,381878410.67025024
2005-03-11,381957561.1423384
2005-03-12,381887136.54091555
