,well_irrigated
2005-01-01,7682
2005-01-02,7682
2005-01-03,7682
2005-01-04,7682
2005-01-05,7682
2005-01-06,7682
2005-01-07,7682
2005-01-08,7682
2005-01-09,7682
2005-01-10,7682
2005-01-11,7682
2005-01-12,7682
2005-01-13,7682
2005-01-14,7682
2005-01-15,7682
2005-01-16,7682
2005-01-17,7682
2005-01-18,7682
2005-01-19,7682
2005-01-20,7682
2005-01-21,7682
2005-01-22,7682
2005-01-23,7682
2005-01-24,7682
2005-01-25,7682
2005-01-26,7682
2005-01-27,7682
2005-01-28,7682
2005-01-29,7682
2005-01-30,7682
2005-01-31,7682
2005-02-01,7682
2005-02-02,7682
2005-02-03,7682
2005-02-04,7682
2005-02-05,7682
2005-02-06,7682
2005-02-07,7682
2005-02-08,7682
2005-02-09,7682
2005-02-10,7682
2005-02-11,7682
2005-02-12,7682
2005-02-13,7682
2005-02-14,7682
2005-02-15,7682
2005-02-16,7682
2005-02-17,7682
2005-02-18,7682
2005-02-19,7682
2005-02-20,7682
2005-02-21,7682
2005-02-22,7682
2005-02-23,7682
2005-02-24,7682
2005-02-25,7682
2005-02-26,7682
2005-02-27,7682
2005-02-28,7682
2005-03-01,7682
2005-03-02,7682
2005-03-03,7682
2005-03-04,7682
2005-03-05,7682
2005-03-06,7682
2005-03-07,7682
2005-03-08,7682
2005-03-09,7682
2005-03-10,7682
2005-03-11,7682
2005-03-12,7682
2005-03-13,7682
2005-03-14,7682
2005-03-15,7682
2005-03-16,7682
2005-03-17,7682
2005-03-18,7682
2005-03-19,7682
2005-03-20,7682
2005-03-21,7682
2005-03-22,7682
2005-03-23,7682
2005-03-24,7682
2005-03-25,7682
2005-03-26,7682
2005-03-27,7682
2005-03-28,7682
2005-03-29,7682
2005-03-30,7682
2005-03-31,7682
2005-04-01,7682
2005-04-02,7682
2005-04-03,7682
2005-04-04,7682
2005-04-05,7682
2005-04-06,7682
2005-04-07,7682
2005-04-08,7682
2005-04-09,7682
2005-04-10,7682
2005-04-11,7682
2005-04-12,7682
2005-04-13,7682
2005-04-14,7682
2005-04-15,7682
2005-04-16,7682
2005-04-17,7682
2005-04-18,7682
2005-04-19,7682
2005-04-20,7682
2005-04-21,7682
2005-04-22,7682
2005-04-23,7682
2005-04-24,7682
2005-04-25,7682
2005-04-26,7682
2005-04-27,7682
2005-04-28,7682
2005-04-29,7682
2005-04-30,7682
2005-05-01,7682
2005-05-02,7682
2005-05-03,7682
2005-05-04,7682
2005-05-05,7682
2005-05-06,7682
2005-05-07,7682
2005-05-08,7682
2005-05-09,7682
2005-05-10,7682
2005-05-11,7682
2005-05-12,7682
2005-05-13,7682
2005-05-14,7682
2005-05-15,7682
2005-05-16,7682
2005-05-17,7682
2005-05-18,7682
2005-05-19,7682
2005-05-20,7682
2005-05-21,7682
2005-05-22,7682
2005-05-23,7682
2005-05-24,7682
2005-05-25,7682
2005-05-26,7682
2005-05-27,7682
2005-05-28,7682
2005-05-29,7682
2005-05-30,7682
2005-05-31,7682
2005-06-01,7682
2005-06-02,7682
2005-06-03,7682
2005-06-04,7682
2005-06-05,7682
2005-06-06,7682
2005-06-07,7682
2005-06-08,7682
2005-06-09,7682
2005-06-10,7682
2005-06-11,7682
2005-06-12,7682
2005-06-13,7682
2005-06-14,7682
2005-06-15,7682
2005-06-16,7682
2005-06-17,7682
2005-06-18,7682
2005-06-19,7682
2005-06-20,7682
2005-06-21,7682
2005-06-22,7682
2005-06-23,7682
2005-06-24,7682
2005-06-25,7682
2005-06-26,7682
2005-06-27,7682
2005-06-28,7682
2005-06-29,7682
2005-06-30,7682
2005-07-01,7682
2005-07-02,7682
2005-07-03,7682
2005-07-04,7682
2005-07-05,7682
2005-07-06,7682
2005-07-07,7682
2005-07-08,7682
2005-07-09,7682
2005-07-10,7682
2005-07-11,7682
2005-07-12,7682
2005-07-13,7682
2005-07-14,7682
2005-07-15,7682
2005-07-16,7682
2005-07-17,7682
2005-07-18,7682
2005-07-19,7682
2005-07-20,7682
2005-07-21,7682
2005-07-22,7682
2005-07-23,7682
2005-07-24,7682
2005-07-25,7682
2005-07-26,7682
2005-07-27,7682
2005-07-28,7682
2005-07-29,7682
2005-07-30,7682
2005-07-31,7682
2005-08-01,7682
2005-08-02,7682
2005-08-03,7682
2005-08-04,7682
2005-08-05,7682
2005-08-06,7682
2005-08-07,7682
2005-08-08,7682
2005-08-09,7682
2005-08-10,7682
2005-08-11,7682
2005-08-12,7682
2005-08-13,7682
2005-08-14,7682
2005-08-15,7682
2005-08-16,7682
2005-08-17,7682
2005-08-18,7682
2005-08-19,7682
2005-08-20,7682
2005-08-21,7682
2005-08-22,7682
2005-08-23,7682
2005-08-24,7682
2005-08-25,7682
2005-08-26,7682
2005-08-27,7682
2005-08-28,7682
2005-08-29,7682
2005-08-30,7682
2005-08-31,7682
2005-09-01,7682
2005-09-02,7682
2005-09-03,7682
2005-09-04,7682
2005-09-05,7682
2005-09-06,7682
2005-09-07,7682
2005-09-08,7682
2005-09-09,7682
2005-09-10,7682
2005-09-11,7682
2005-09-12,7682
2005-09-13,7682
2005-09-14,7682
2005-09-15,7682
2005-09-16,7682
2005-09-17,7682
2005-09-18,7682
2005-09-19,7682
2005-09-20,7682
2005-09-21,7682
2005-09-22,7682
2005-09-23,7682
2005-09-24,7682
2005-09-25,7682
2005-09-26,7682
2005-09-27,7682
2005-09-28,7682
2005-09-29,7682
2005-09-30,7682
2005-10-01,7682
2005-10-02,7682
2005-10-03,7682
2005-10-04,7682
2005-10-05,7682
2005-10-06,7682
2005-10-07,7682
2005-10-08,7682
2005-10-09,7682
2005-10-10,7682
2005-10-11,7682
2005-10-12,7682
2005-10-13,7682
2005-10-14,7682
2005-10-15,7682
2005-10-16,7682
2005-10-17,7682
2005-10-18,7682
2005-10-19,7682
2005-10-20,7682
2005-10-21,7682
2005-10-22,7682
2005-10-23,7682
2005-10-24,7682
2005-10-25,7682
2005-10-26,7682
2005-10-27,7682
2005-10-28,7682
2005-10-29,7682
2005-10-30,7682
2005-10-31,7682
2005-11-01,7682
2005-11-02,7682
2005-11-03,7682
2005-11-04,7682
2005-11-05,7682
2005-11-06,7682
2005-11-07,7682
2005-11-08,7682
2005-11-09,7682
2005-11-10,7682
2005-11-11,7682
2005-11-12,7682
2005-11-13,7682
